x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3,,,
3.591773866,17.44623723,1.155407965,,3.178659522,16.78771662,1.183915009,,3.580522202,16.7023494,1.155407965,,,
3.67065764,17.62509069,1.155407965,,3.235078893,16.92303351,1.175770139,,3.650182253,16.85856378,1.15133553,,,
3.75099552,17.80329572,1.147263095,,3.31030472,17.10345602,1.175770139,,3.720477898,17.01449319,1.147263095,,,
3.842191327,18.00340666,1.14319066,,3.395759676,17.30608502,1.171697705,,3.79140797,17.17013502,1.14319066,,,
3.935825084,18.20238852,1.130973355,,3.462865906,17.46341338,1.16762527,,3.862971293,17.32548672,1.139118225,,,
4.028647725,18.40175005,1.13504579,,3.530612287,17.62046714,1.163552835,,3.955793935,17.52484824,1.13504579,,,
4.12389904,18.59996268,1.122828485,,3.589775117,17.75460723,1.155407965,,4.02862019,17.67961191,1.130973355,,,
4.208566875,18.77615169,1.122828485,,3.659435168,17.91082162,1.15133553,,4.102076105,17.83407772,1.12690092,,,
4.304624605,18.97397478,1.118756051,,3.739046655,18.08935235,1.15133553,,4.17616046,17.9882431,1.122828485,,,
4.391438622,19.14911625,1.110611181,,3.809342299,18.24528175,1.147263095,,4.250872028,18.1421055,1.118756051,,,
4.468024352,19.30205442,1.106538746,,3.880272372,18.40092359,1.14319066,,4.337686046,18.31724698,1.110611181,,,
4.567291681,19.49828657,1.102466311,,3.962781386,18.57813384,1.13504579,,4.414271775,18.47018514,1.106538746,,,
4.656947064,19.67199069,1.094321441,,4.035607642,18.73289751,1.130973355,,4.501798323,18.64497162,1.106538746,,,
4.7241886,19.80226878,1.094321441,,4.109063556,18.88736331,1.12690092,,4.579006246,18.79759663,1.102466311,,,
4.81525579,19.97523692,1.086176571,,4.183147912,19.0415287,1.122828485,,4.656835083,18.94990595,1.098393876,,,
4.906322981,20.14820506,1.086176571,,4.267815747,19.21771771,1.122828485,,4.747197118,19.12324352,1.090249006,,,
4.998795938,20.32042573,1.078031701,,4.342527315,19.37158011,1.118756051,,4.82688091,19.27459064,1.086176571,,,
5.091268895,20.49264641,1.078031701,,4.417864856,19.52513698,1.114683616,,4.9179481,19.44755877,1.086176571,,,
5.172795747,20.64300874,1.073959266,,4.493827121,19.67838576,1.110611181,,4.99824758,19.59858013,1.082104136,,,
5.254934263,20.7930378,1.069886831,,4.582064748,19.85281435,1.102466311,,5.091421126,19.77042279,1.073959266,,,
5.350200257,20.96372934,1.061741962,,4.670302374,20.02724293,1.102466311,,5.173559641,19.92045186,1.069886831,,,
