x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3,,
-0.251156429,38.77494997,1.562651457,,-0.450859428,39.44593723,1.562651457,,-0.179611451,38.92381326,1.566723892,,
-0.251852985,38.94599082,1.566723892,,-0.452949051,39.61696673,1.558579022,,-0.181402582,39.14371745,1.562651457,,
-0.253644116,39.16589501,1.562651457,,-0.456531193,39.83684904,1.554506587,,-0.182298154,39.36362711,1.566723892,,
-0.255634261,39.410233,1.562651457,,-0.458620817,40.00787854,1.558579022,,-0.183094219,39.55910237,1.566723892,,
-0.257226377,39.60570339,1.562651457,,-0.461008958,40.20334083,1.558579022,,-0.183890284,39.75457762,1.566723892,,
-0.258818493,39.80117378,1.562651457,,-0.463397099,40.39880312,1.558579022,,-0.184686348,39.95005288,1.566723892,,
-0.260410609,39.99664417,1.562651457,,-0.46578524,40.5942654,1.558579022,,-0.186477479,40.16995707,1.562651457,,
-0.262002725,40.19211457,1.562651457,,-0.468173382,40.78972769,1.558579022,,-0.187373052,40.38986673,1.566723892,,
-0.263992871,40.43645256,1.562651457,,-0.469964512,41.00963188,1.562651457,,-0.188169116,40.58534199,1.566723892,,
-0.267973029,40.68076623,1.554506587,,-0.471556628,41.20510228,1.562651457,,-0.188965181,40.78081724,1.566723892,,
-0.270659688,40.90066131,1.558579022,,-0.473646252,41.37613178,1.558579022,,-0.189761246,40.9762925,1.566723892,,
-0.272052789,41.0716979,1.562651457,,-0.476034393,41.57159407,1.558579022,,-0.191552376,41.19619669,1.562651457,,
-0.272948362,41.29160756,1.566723892,,-0.477427495,41.74263066,1.562651457,,-0.192447949,41.41610635,1.566723892,,
-0.273943443,41.53595163,1.566723892,,-0.479019611,41.93810105,1.562651457,,-0.194637109,41.68487814,1.562651457,,
-0.275336544,41.70698823,1.562651457,,-0.48170627,42.15799613,1.558579022,,-0.195731698,41.95365662,1.566723892,,
-0.276928661,41.90245862,1.562651457,,-0.484094411,42.35345841,1.558579022,,-0.196527762,42.14913187,1.566723892,,
-0.278520777,42.09792901,1.562651457,,-0.485487512,42.52449501,1.562651457,,-0.197323827,42.34460713,1.566723892,,
-0.279416349,42.31783867,1.566723892,,-0.487079628,42.7199654,1.562651457,,-0.198119892,42.54008238,1.566723892,,
-0.28120748,42.53774286,1.562651457,,-0.489169252,42.8909949,1.558579022,,-0.199114973,42.78442645,1.566723892,,
-0.282799596,42.73321326,1.562651457,,-0.492751394,43.11087721,1.554506587,,-0.199911037,42.97990171,1.566723892,,
-0.284391712,42.92868365,1.562651457,,-0.49434351,43.3063476,1.562651457,,-0.200707102,43.17537696,1.566723892,,
-0.285983828,43.12415404,1.562651457,,-0.496433134,43.4773771,1.558579022,,-0.201503166,43.37085222,1.566723892,,
-0.286879401,43.3440637,1.566723892,,-0.498821275,43.67283939,1.558579022,,-0.202299231,43.56632747,1.566723892,,
-0.287874482,43.58840777,1.566723892,,-0.501209416,43.86830168,1.558579022,,-0.204090362,43.78623166,1.562651457,,
-0.289267583,43.75944437,1.562651457,,-0.503000547,44.08820587,1.562651457,,-0.204985934,44.00614133,1.566723892,,
-0.2908597,43.95491476,1.562651457,,-0.50509017,44.25923537,1.558579022,,-0.205781999,44.20161658,1.566723892,,
-0.292451816,44.15038515,1.562651457,,-0.507478312,44.45469766,1.558579022,,-0.206578064,44.39709184,1.566723892,,
-0.293347388,44.37029481,1.566723892,,-0.509866453,44.65015995,1.558579022,,-0.207374128,44.59256709,1.566723892,,
-0.294342469,44.61463888,1.566723892,,-0.511259554,44.82119654,1.562651457,,-0.208369209,44.83691116,1.566723892,,
-0.295138534,44.81011414,1.566723892,,-0.51285167,45.01666693,1.562651457,,,,,,
-0.296531636,44.98115073,1.562651457,,-0.515538329,45.23656201,1.558579022,,,,,,
-0.298123752,45.17662112,1.562651457,,-0.517329435,45.38315872,1.558579022,,,,,,
-0.299019324,45.39653078,1.566723892,,-0.519120566,45.60306291,1.562651457,,,,,,
-0.300014405,45.64087485,1.566723892,,-0.522304692,45.79851386,1.554506587,,,,,,
-0.301407507,45.81191145,1.562651457,,-0.524394316,45.96954336,1.558579022,,,,,,
-0.302999623,46.00738184,1.562651457,,-0.526782457,46.16500564,1.558579022,,,,,,
-0.304591739,46.20285223,1.562651457,,,,,,,,,,
-0.305487312,46.42276189,1.566723892,,,,,,,,,,
-0.307278442,46.64266609,1.562651457,,,,,,,,,,
-0.308870558,46.83813648,1.562651457,,,,,,,,,,
