Sr No.,Large-LeftPosition-X,Large-LeftPosition-Z,Large-RightPosition-X,Large-RightPosition-Z,Large-StraightPosition-X,Large-StraightPosition-Z,,Medium-LeftPosition-X,Medium-LeftPosition-Z,Medium-RightPosition-X,Medium-RightPosition-Z,Medium-StraightPosition-X,Medium-StraightPosition-Z,,Small-LeftPosition-X,Small-LeftPosition-Z,Small-RightPosition-X,Small-RightPosition-Z,Small-StraightPosition-X,Small-StraightPosition-Z
11,-2239.31958,604.605469,-2624.53833,535.654053,-2423.781494,665.01178,,-2172.743652,660.188904,-2632.743164,624.335266,-2386.965576,743.769226,,-2243.386719,611.980774,-2636.574463,536.424866,-2433.835693,670.574951
12,-2239.439209,603.656311,-2625.227295,536.488098,-2424.04834,665.221069,,-2172.043701,659.732056,-2632.261475,624.665771,-2386.94751,743.792053,,-2243.384766,611.932556,-2636.990967,536.499634,-2433.744873,670.695312
13,-2238.921631,604.474792,-2625.405762,537.970703,-2424.057617,665.244873,,-2171.703613,659.126282,-2632.380615,624.025452,-2387.026123,743.801697,,-2243.405273,611.92865,-2636.671631,536.575684,-2433.785645,670.840942
14,-2239.23877,603.92865,-2625.665527,537.947693,-2424.502686,665.922546,,-2172.271484,660.129089,-2632.313721,623.817749,-2386.503418,743.97406,,-2244.190674,612.467041,-2636.602295,536.287048,-2433.538818,671.417664
15,-2239.083984,604.919739,-2625.113525,536.219849,-2424.240967,665.288757,,-2173.655762,661.457153,-2631.102539,624.966492,-2386.773926,743.579773,,-2243.42749,612.152771,-2637.146729,536.551392,-2433.874268,670.52832
16,-2239.126465,604.296753,-2624.543701,536.040466,-2423.034912,665.338074,,-2171.188477,659.280273,-2632.496094,624.702148,-2387.056641,743.419495,,-2244.245361,612.456543,-2636.577881,536.171021,-2433.828613,670.541321
17,-2238.972168,605.067383,-2625.205078,537.155762,-2423.381836,664.40802,,-2172.562988,659.887329,-2631.738281,624.003906,-2386.386475,743.859741,,-2243.364502,611.951294,-2637.059326,536.463806,-2433.760986,670.599915
18,-2239.238037,604.551636,-2624.770996,536.492249,-2423.751709,664.202515,,-2171.987305,660.671936,-2632.271729,623.812988,-2386.898682,743.925049,,-2243.694092,612.272217,-2637.119385,536.528259,-2433.650391,670.950134
19,-2239.13208,603.937561,-2625.606689,538.043823,-2423.085205,665.262878,,-2172.378418,659.770447,-2632.260254,624.209412,-2386.577881,743.850891,,-2243.46875,612.139282,-2637.117432,536.417175,-2433.659668,670.848877
20,-2239.265869,604.299011,-2624.902344,536.616089,-2424.257812,664.915039,,-2174.18042,661.958557,-2632.739746,624.557617,-2387.275391,744.223267,,-2243.71167,612.297485,-2637.030273,536.548706,-2433.625488,670.851868
21,-2238.996826,604.466492,-2625.678955,537.835754,-2424.268799,665.391907,,-2171.089355,659.752136,-2632.38623,623.833923,-2386.402344,743.806274,,-2243.680176,612.318848,-2637.021729,536.378601,-2433.806396,670.817261
22,-2239.251221,604.444885,-2625.087402,536.986938,-2424.114014,665.270142,,-2171.296875,658.89386,-2632.421875,624.230591,-2388.191895,744.40387,,-2243.782715,612.339417,-2636.775391,536.524109,-2433.804688,670.782898
23,-2239.053223,603.857422,-2625.088623,536.184998,-2423.882812,665.442139,,-2171.590088,659.903198,-2632.131348,624.628235,-2387.952637,744.227539,,-2243.411133,612.158142,-2636.714844,536.598328,-2433.63501,670.913208
24,-2238.871582,604.556885,-2624.97998,536.859253,-2424.179199,665.212646,,-2173.264648,660.38385,-2632.992432,624.460571,-2386.960938,743.733765,,-2243.323242,612.124512,-2636.507812,536.159363,-2433.873047,670.545593
25,-2238.857178,605.583069,-2625.420898,536.760315,-2423.646729,665.476501,,-2170.994385,659.118164,-2635.058594,623.449097,-2386.591309,743.816406,,-2243.442139,612.205383,-2637.197998,536.500549,-2433.723877,670.299377
